iter	Passed	Remaining
0	806	805660
1	809	404016
2	812	270087
3	815	203052
4	818	162815
5	821	136026
6	824	116950
7	827	102581
8	829	91369
9	831	82348
10	833	74969
11	835	68824
12	837	63598
13	839	59091
14	840	55184
15	841	51761
16	842	48730
17	843	46035
18	844	43628
19	846	41461
20	847	39492
21	848	37698
22	849	36064
23	850	34577
24	851	33199
25	852	31926
26	853	30740
27	853	29642
28	854	28619
29	855	27662
30	856	26767
31	857	25933
32	858	25145
33	858	24404
34	859	23705
35	860	23043
36	861	22419
37	862	21828
38	863	21265
39	864	20753
40	865	20249
41	866	19767
42	867	19307
43	868	18867
44	869	18449
45	870	18046
46	870	17659
47	871	17290
48	872	16938
49	873	16602
50	874	16277
51	875	15964
52	876	15662
53	877	15376
54	879	15104
55	880	14834
56	880	14571
57	881	14319
58	882	14074
59	884	13855
60	885	13627
61	886	13407
62	887	13193
63	887	12985
64	888	12784
65	889	12589
66	890	12401
67	891	12217
68	892	12039
69	893	11866
70	894	11697
71	894	11534
72	895	11374
73	896	11219
74	897	11068
75	898	10929
76	899	10787
77	900	10647
78	901	10510
79	902	10377
80	903	10248
81	904	10122
82	904	9993
83	905	9873
84	906	9755
85	907	9641
86	908	9529
87	909	9420
88	909	9313
89	910	9208
90	911	9107
91	912	9010
92	914	8917
93	915	8823
94	916	8730
95	917	8638
96	918	8548
97	919	8461
98	920	8376
99	921	8293
100	922	8210
101	923	8127
102	924	8047
103	924	7968
104	925	7890
105	926	7814
106	927	7742
107	928	7671
108	930	7602
109	931	7534
110	932	7465
111	932	7396
112	933	7329
113	934	7264
114	935	7199
115	936	7136
116	937	7072
117	937	7010
118	938	6950
119	939	6890
120	940	6832
121	941	6773
122	942	6717
123	943	6667
124	944	6613
125	945	6559
126	946	6504
127	947	6452
128	948	6401
129	948	6350
130	949	6300
131	950	6251
132	951	6202
133	952	6155
134	953	6108
135	954	6061
136	955	6015
137	955	5970
138	956	5926
139	959	5893
140	960	5853
141	961	5809
142	962	5766
143	963	5725
144	963	5684
145	964	5643
146	965	5603
147	966	5564
148	967	5526
149	968	5487
150	969	5449
151	970	5412
152	970	5375
153	971	5339
154	974	5314
155	976	5283
156	977	5248
157	978	5213
158	979	5179
159	980	5145
160	980	5109
161	981	5076
162	982	5043
163	983	5011
164	983	4979
165	984	4947
166	985	4916
167	986	4885
168	987	4856
169	989	4829
170	990	4799
171	990	4770
172	991	4740
173	992	4711
174	993	4682
175	994	4654
176	995	4626
177	995	4599
178	996	4571
179	997	4544
180	998	4518
181	999	4491
182	1000	4465
183	1001	4439
184	1003	4419
185	1004	4395
186	1005	4370
187	1006	4345
188	1006	4320
189	1007	4296
190	1008	4272
191	1009	4248
192	1010	4224
193	1011	4201
194	1011	4177
195	1012	4154
196	1013	4132
197	1014	4109
198	1015	4087
199	1016	4066
200	1017	4045
201	1018	4023
202	1019	4002
203	1020	3980
204	1021	3959
205	1021	3938
206	1022	3918
207	1023	3897
208	1024	3877
209	1025	3856
210	1026	3837
211	1027	3817
212	1027	3798
213	1028	3778
214	1029	3758
215	1030	3739
216	1031	3722
217	1032	3704
218	1033	3685
219	1034	3666
220	1035	3648
221	1035	3630
222	1036	3612
223	1037	3594
224	1038	3576
225	1039	3559
226	1040	3541
227	1040	3524
228	1041	3507
229	1042	3490
230	1043	3473
231	1044	3457
232	1045	3440
233	1046	3426
234	1047	3410
235	1048	3394
236	1049	3378
237	1050	3362
238	1050	3346
239	1051	3330
240	1052	3314
241	1053	3299
242	1054	3284
243	1055	3268
244	1055	3254
245	1056	3239
246	1057	3224
247	1058	3209
248	1059	3195
249	1060	3180
250	1061	3168
251	1062	3154
252	1063	3139
253	1064	3125
254	1065	3111
255	1065	3097
256	1066	3083
257	1067	3070
258	1068	3057
259	1069	3043
260	1070	3030
261	1071	3017
262	1071	3004
263	1072	2990
264	1073	2977
265	1074	2964
266	1076	2956
267	1077	2944
268	1078	2931
269	1079	2918
270	1080	2906
271	1081	2893
272	1081	2881
273	1082	2869
274	1083	2856
275	1084	2844
276	1085	2832
277	1086	2821
278	1087	2809
279	1087	2797
280	1088	2786
281	1089	2774
282	1091	2764
283	1092	2753
284	1092	2741
285	1093	2730
286	1094	2719
287	1095	2708
288	1096	2697
289	1097	2686
290	1098	2675
291	1098	2664
292	1099	2653
293	1100	2642
294	1101	2632
295	1102	2621
296	1103	2611
297	1104	2600
298	1105	2591
299	1106	2581
300	1107	2571
301	1108	2561
302	1109	2551
303	1109	2541
304	1110	2531
305	1111	2520
306	1112	2511
307	1113	2501
308	1114	2491
309	1114	2481
310	1115	2471
311	1116	2462
312	1117	2452
313	1118	2443
314	1119	2433
315	1120	2425
316	1121	2416
317	1122	2407
318	1123	2397
319	1124	2388
320	1124	2379
321	1125	2370
322	1126	2361
323	1127	2352
324	1128	2343
325	1129	2334
